"","spot_status","emmean","SE","df","lower.CL","upper.CL","variable","significant","sp_id"
"1","coldspot",29.8622641509434,0.665653754136738,105,28.542395720182,31.1821325817047,"height","yes","Abialba"
"2","hotspot",25.6240740740741,0.659461491603195,105,24.3164837560436,26.9316643921045,"height","yes","Abialba"
"3","coldspot",61.3964912280702,1.92541690577234,108,57.5799808931358,65.2130015630045,"dbh","yes","Abialba"
"4","hotspot",47.7433962264151,1.99675266974426,108,43.7854860317241,51.701306421106,"dbh","yes","Abialba"
"5","coldspot",15.4744989941506,1.66839475278325,104,12.1660095903928,18.7829883979083,"hegyi_index","no","Abialba"
"6","hotspot",15.6466495765007,1.799443450884,104,12.0782856866123,19.215013466389,"hegyi_index","no","Abialba"
"7","coldspot",50.5091843848788,0.674691120944831,107,49.1716879267126,51.846680843045,"wc_22","no","Abialba"
"8","hotspot",49.3119425750189,0.680909603745018,107,47.9621186999619,50.661766450076,"wc_22","no","Abialba"
"9","coldspot",47.9395039476298,0.162936257553456,108,47.6165360184379,48.2624718768216,"percent_c","yes","Abialba"
"10","hotspot",47.4610365483788,0.165926163042562,108,47.1321421078088,47.7899309889487,"percent_c","yes","Abialba"
"11","coldspot",1.16609362603458,0.0205813574220819,108,1.12529780510205,1.20688944696711,"percent_n","no","Abialba"
"12","hotspot",1.16509076159338,0.0209590285092515,108,1.12354633104645,1.20663519214031,"percent_n","no","Abialba"
"13","coldspot",41.8706970213463,0.772238386849092,108,40.3399865681417,43.4014074745509,"cn","no","Abialba"
"14","hotspot",41.4100699629529,0.786409080508123,108,39.8512707365373,42.9688691893685,"cn","no","Abialba"
"15","coldspot",56.3201783753787,1.94494778066561,107,52.4645462391271,60.1758105116303,"sla_22","yes","Abialba"
"16","hotspot",44.660583198787,1.96287394561113,107,40.7694145312564,48.5517518663177,"sla_22","yes","Abialba"
"17","coldspot",87.9,4.86236536604445,76,78.2157600823644,97.5842399176356,"age","no","Abialba"
"18","hotspot",81.9473684210526,4.98868160549021,76,72.0115479091596,91.8831889329457,"age","no","Abialba"
"19","coldspot",1049.9264762801,34.1174761637843,108,982.299719710863,1117.55323284934,"chlor_a_fw_22","yes","Abialba"
"20","hotspot",929.969972524069,34.7435371203096,108,861.102254527874,998.837690520264,"chlor_a_fw_22","yes","Abialba"
"21","coldspot",483.251564677148,13.7189297591477,108,456.058265889204,510.444863465092,"chlor_b_fw_22","no","Abialba"
"22","hotspot",450.917345907641,13.9706742389059,108,423.225045887351,478.609645927931,"chlor_b_fw_22","no","Abialba"
"23","coldspot",1533.17804095725,45.6924308159886,108,1442.60771620592,1623.74836570857,"total_chl_fw_22","yes","Abialba"
"24","hotspot",1380.88731843171,46.5308939779557,108,1288.655014234,1473.11962262942,"total_chl_fw_22","yes","Abialba"
"25","coldspot",53.9963801673003,1.23088045178224,108,51.5565615746557,56.4361987599449,"xc_fw_22","no","Abialba"
"26","hotspot",53.9143998184851,1.25346729816301,108,51.429810177873,56.3989894590972,"xc_fw_22","no","Abialba"
"27","coldspot",2.20240060664284,0.0455344051180082,108,2.11214351623973,2.29265769704595,"chla_chlb_22","yes","Abialba"
"28","hotspot",2.04143877176624,0.0463699684840127,108,1.94952544981541,2.13335209371706,"chla_chlb_22","yes","Abialba"
"29","coldspot",28.2163214237479,0.435517692946589,108,27.3530498012778,29.079593046218,"chl_xc_22","yes","Abialba"
"30","hotspot",25.4657144047475,0.443509509871173,108,24.586601614686,26.3448271948089,"chl_xc_22","yes","Abialba"
"31","coldspot",-29.2693405947914,0.159195878158082,108,-29.5848944431282,-28.9537867464546,"leaf_d13c","yes","Abialba"
"32","hotspot",-28.5223906135182,0.162117147107639,108,-28.8437349237045,-28.2010463033319,"leaf_d13c","yes","Abialba"
"33","coldspot",-3.88354675856006,0.196012615364191,108,-4.27207776712876,-3.49501574999136,"leaf_d15n","yes","Abialba"
"34","hotspot",-3.14783231916394,0.19960947712726,108,-3.54349293174252,-2.75217170658537,"leaf_d15n","yes","Abialba"
"35","coldspot",36.0916739683377,0.171162656542994,108,35.7523998892057,36.4309480474698,"leaf_d18o_corrected","yes","Abialba"
