"","variable","delta_aic","estimate_cold","estimate_hot","ci_upper_hot","ci_upper_cold","ci_lower_cold","ci_lower_hot","sp_id"
"55","percent_c",1.19768580083871,46.4801552521072,0.939376058467748,58.203776116651,52.1907461027938,40.6419002932923,36.6233179943627,"pp"
"56","percent_n",-1.99381453329374,0.982090679969299,0.00322106359400203,1.65204087745058,1.28741198706399,0.690069867548287,0.31982953105168,"pp"
"57","cn",-1.99559300258431,48.9811109038889,0.13096866749058,88.7114589911138,69.3228113454456,28.1303551495584,9.46497621607253,"pp"
"58","sla_22",-1.91000154397983,42.4434812888556,-0.279506190701939,74.6258742134318,66.6460271999051,18.1072749595766,9.69981055205605,"pp"
"59","age",-1.80312896392707,116.062602704855,3.69795379872582,279.72296978395,195.62516845348,34.255365058258,-40.412294767225,"pp"
"60","chlor_a_fw_22",-1.41688191181856,430.608698301751,21.6450044641499,641.293971865648,561.433754690065,299.783641913437,263.213433666154,"pp"
"61","chlor_b_fw_22",-0.839257946398675,204.373263289343,13.1987053622833,299.136115259974,260.819617974075,147.926908604611,136.007822043278,"pp"
"62","total_chl_fw_22",-1.23880874753581,634.981961591095,34.8437098264317,936.035838851141,819.212339232309,450.751583949882,403.615503983913,"pp"
"63","xc_fw_22",-0.944869703552058,25.9878311089171,1.54129643845884,42.3704223661321,31.181830563866,19.9961374888952,12.6264716389989,"pp"
"64","chla_chlb_22",-1.54893414606014,2.11249932561675,-0.0366165937126381,2.48668550082574,2.31351613600673,1.89470919875699,1.66378970786944,"pp"
"65","chl_xc_22",-1.8177141444537,23.8299769923852,0.300892820731504,29.9154943714653,26.6200437164401,21.3885183874047,18.3730612639277,"pp"
"66","leaf_d13c",-1.66212704061212,-25.4288490239008,0.209357115309145,-18.8937528480219,-22.482224746044,-28.4818528121293,-31.5552040482583,"pp"
"67","leaf_d15n",-1.96526815000465,-3.94079295873097,0.0781739322757876,6.09140421086378,1.93245757285738,-9.72306524501513,-13.8081130532769,"pp"
"68","leaf_d18o_corrected",0.111636531205107,19.9004137540169,0.365550606781496,22.0040834012026,21.0900114254243,18.7108160826095,18.5278453203942,"pp"
"69","mean_1980",0.0172917374161443,1035.6919,-156.239649999998,1639.72764946679,1556.03706843204,515.346731567958,119.176850533211,"pp"
"70","mean_05",-1.98969813011104,827.3198,-10.1209406249998,1510.50687500314,1301.83137359598,352.808226404017,123.890843746858,"pp"
"71","Rt12",-0.995939727756124,0.606665884245713,0.0446822329844786,1.78901248616669,1.31179952973148,-0.0895144880246802,-0.485476882342356,"pp"
"72","Rt17",-1.59663956364861,0.773005841198276,-0.0246834089141888,2.30750275784486,2.00646848414835,-0.455566505645671,-0.810399428016689,"pp"
"73","Rt22",-1.79599605363136,1.40831926586821,-0.0479983064575333,5.25039670092761,4.36561808852455,-1.53427979770086,-2.52837667969189,"pp"
"74","Rs12",-1.67809285785912,1.11258008240468,0.0365900383845058,2.23543162514208,1.60334423305274,0.601886810645191,0.0610402613321106,"pp"
"75","Rs17",-1.92087195407037,0.812327026355374,0.013930788381754,1.9354117566919,1.44106041150845,0.195011424176615,-0.281825710063797,"pp"
